Source Entity,Target Entity
189.89.76.156,156.76.89.189.cliente.interjato.com.br
189.89.76.156,189.0.0.0-189.255.255.255
https://www.defensoria.rn.def.br/,Apache
https://www.defensoria.rn.def.br/,Cascading Style Sheets
https://www.defensoria.rn.def.br/,Conditional Comments
https://www.defensoria.rn.def.br/,Content Type Options
https://www.defensoria.rn.def.br/,Drupal
https://www.defensoria.rn.def.br/,Drupal 8
https://www.defensoria.rn.def.br/,Foundation
https://www.defensoria.rn.def.br/,Google Calendar
https://www.defensoria.rn.def.br/,Google Font API
https://www.defensoria.rn.def.br/,Handheld Friendly
https://www.defensoria.rn.def.br/,HREF Lang
https://www.defensoria.rn.def.br/,HTML 5 Specific Tags
https://www.defensoria.rn.def.br/,HTML5 DocType
https://www.defensoria.rn.def.br/,IFrame
https://www.defensoria.rn.def.br/,IPhone / Mobile Compatible
https://www.defensoria.rn.def.br/,jQuery
https://www.defensoria.rn.def.br/,jQuery Once
https://www.defensoria.rn.def.br/,Mobile Optimized
https://www.defensoria.rn.def.br/,Portuguese
https://www.defensoria.rn.def.br/,RSS
https://www.defensoria.rn.def.br/,SEO_H1
https://www.defensoria.rn.def.br/,SEO_H2
https://www.defensoria.rn.def.br/,SEO_TITLE
https://www.defensoria.rn.def.br/,UTF-8
https://www.defensoria.rn.def.br/,Viewport Meta
https://www.defensoria.rn.def.br/,WAI-ARIA
https://www.defensoria.rn.def.br/,www.defensoria.rn.def.br
https://www.defensoria.rn.def.br/,X-Frame-Options
https://www.defensoria.rn.def.br/,X-UA-Compatible
https://www.defensoria.rn.def.br/,X-XSS-Protection
https://www.defensoria.rn.def.br/,YouTube
rn.def.br,189.89.76.157
rn.def.br,189.89.76.158
rn.def.br,Alyson Keiji Nakamura
rn.def.br,cert@cert.br
rn.def.br,mail-abuse@cert.br
rn.def.br,Renata Alves Maia
rn.def.br,saci
www.defensoria.rn.def.br,189.89.76.156
www.defensoria.rn.def.br,rn.def.br
