Source Entity,Target Entity
200.137.5.241,200.0.0.0-200.255.255.255
http://portal.uern.br/,AdRotate for WordPress
http://portal.uern.br/,Cart Functionality
http://portal.uern.br/,Contact Form 7
http://portal.uern.br/,Copyright Year 2016
http://portal.uern.br/,Device Pixel Ratio
http://portal.uern.br/,DoubleClick.Net
http://portal.uern.br/,EasyEngine
http://portal.uern.br/,Facebook Sharer
http://portal.uern.br/,FitVids.JS
http://portal.uern.br/,Font Awesome
http://portal.uern.br/,Froogaloop
http://portal.uern.br/,Google Analytics
http://portal.uern.br/,Google Analytics Dashboard for WordPress
http://portal.uern.br/,Google Font API
http://portal.uern.br/,Google Universal Analytics
http://portal.uern.br/,GSAP
http://portal.uern.br/,GStatic Google Static Content
http://portal.uern.br/,Hover Intent
http://portal.uern.br/,html5shiv
http://portal.uern.br/,IPhone / Mobile Compatible
http://portal.uern.br/,jQuery
http://portal.uern.br/,jQuery Cookie
http://portal.uern.br/,LetsEncrypt
http://portal.uern.br/,Live Writer Support
http://portal.uern.br/,Magnific Popup
http://portal.uern.br/,Max Width
http://portal.uern.br/,Min Width
http://portal.uern.br/,nginx
http://portal.uern.br/,Orientation
http://portal.uern.br/,PHP
http://portal.uern.br/,Pingback Support
http://portal.uern.br/,Pinterest
http://portal.uern.br/,portal.uern.br
http://portal.uern.br/,Portuguese
http://portal.uern.br/,Really Simple Discovery
http://portal.uern.br/,RSS
http://portal.uern.br/,Shortcodes Ultimate
http://portal.uern.br/,Slider Revolution
http://portal.uern.br/,ThemePunch
http://portal.uern.br/,Twemoji
http://portal.uern.br/,Viewport Meta
http://portal.uern.br/,Visual Composer
http://portal.uern.br/,WhatsApp
http://portal.uern.br/,WordPress
http://portal.uern.br/,Wordpress 4.7
http://portal.uern.br/,Wordpress 4.9
http://portal.uern.br/,Wordpress Daily Activity
http://portal.uern.br/,Wordpress Monthly Activity
http://portal.uern.br/,Wordpress Plugins
http://portal.uern.br/,WordPress Weekly Activity
http://portal.uern.br/,WP Super Cache
http://portal.uern.br/,YouTube
http://portal.uern.br/,YouTube Advanced by Embed Plus
http://portal.uern.br/,YouTube IFrame API
http://portal.uern.br/,YouTube IFrame Upload
portal.uern.br,200.137.5.241
portal.uern.br,uern.br
uern.br,200.137.5.227
uern.br,200.137.5.228
uern.br,200.164.64.131
uern.br,200.164.64.132
uern.br,blog.uern.br
uern.br,BR
uern.br,cert@cert.br
uern.br,ftp.uern.br
uern.br,groups.uern.br
uern.br,intranet.uern.br
uern.br,mail-abuse@cert.br
uern.br,mail.uern.br
uern.br,Pedro Fernandes Ribeiro Neto
uern.br,pluto.uern.br
uern.br,Ricardo Julio Araujo Silveira Lima
uern.br,ricardo.julio@live.com
uern.br,Rio Grande do Norte
uern.br,upd@uern.br
uern.br,www.uern.br
