Source Entity,Target Entity
172.217.7.201,iad30s10-in-f201.1e100.net
172.217.7.201,iad30s10-in-f9.1e100.net
blogger.com,+1 208 389 5740
blogger.com,abusecomplaints@markmonitor.com
blogger.com,MarkMonitor Inc
blogger.com,MarkMonitor Inc.
blogger.com,VeriSign
https://www.blogger.com/about/?r=2,www.blogger.com
www.blogger.com,172.217.7.201
www.blogger.com,AJAX Libraries API
www.blogger.com,Apple Mobile Web Clips Icon
www.blogger.com,Blogger
www.blogger.com,blogger.com
www.blogger.com,Cascading Style Sheets
www.blogger.com,Content Security Policy
www.blogger.com,Content Type Options
www.blogger.com,Google Analytics
www.blogger.com,Google Font API
www.blogger.com,Google Hosted Libraries
www.blogger.com,Google Hosted Web Font Loader
www.blogger.com,Google Universal Analytics
www.blogger.com,HTML 5 Specific Tags
www.blogger.com,HTML5 Boilerplate
www.blogger.com,HTML5 DocType
www.blogger.com,IPhone / Mobile Compatible
www.blogger.com,Javascript
www.blogger.com,Microdata
www.blogger.com,Mobile Non Scaleable Content
www.blogger.com,Open Graph Protocol
www.blogger.com,QUIC
www.blogger.com,SEO_H2
www.blogger.com,SEO_META_DESCRIPTION
www.blogger.com,SEO_TITLE
www.blogger.com,Twitter Cards
www.blogger.com,UTF-8
www.blogger.com,Viewport Meta
www.blogger.com,WAI-ARIA
www.blogger.com,Web App Manifest
www.blogger.com,WebFont Loader
www.blogger.com,Windows 8 Pinning
www.blogger.com,X-UA-Compatible
www.blogger.com,X-XSS-Protection
