Source Entity,Target Entity
162.221.187.234,162.221.184.0-162.221.191.255
162.221.187.234,server.assesi.com
caico.rn.gov.br,162.221.187.234
caico.rn.gov.br,177.87.96.3
caico.rn.gov.br,177.87.96.4
caico.rn.gov.br,177.87.97.7
caico.rn.gov.br,Adobe Dreamweaver
caico.rn.gov.br,Apple Mobile Web Clips Icon
caico.rn.gov.br,ASP.NET
caico.rn.gov.br,BR
caico.rn.gov.br,caico.rn.gov.br
caico.rn.gov.br,Cascading Style Sheets
caico.rn.gov.br,cert@cert.br
caico.rn.gov.br,Conditional Comments
caico.rn.gov.br,Content Type Options
caico.rn.gov.br,Font Awesome
caico.rn.gov.br,ftp.caico.rn.gov.br
caico.rn.gov.br,Google Font API
caico.rn.gov.br,Google Translate Widget
caico.rn.gov.br,HTML 5 Specific Tags
caico.rn.gov.br,HTML5 DocType
caico.rn.gov.br,html5shiv
caico.rn.gov.br,IIS
caico.rn.gov.br,IIS 8
caico.rn.gov.br,IPhone / Mobile Compatible
caico.rn.gov.br,Isotope
caico.rn.gov.br,Javascript
caico.rn.gov.br,jQuery
caico.rn.gov.br,jQuery 2.1.1
caico.rn.gov.br,jQuery CDN
caico.rn.gov.br,jQuery Easing
caico.rn.gov.br,jQuery prettyPhoto
caico.rn.gov.br,julio@rn.gov.br
caico.rn.gov.br,mail-abuse@cert.br
caico.rn.gov.br,mail.caico.rn.gov.br
caico.rn.gov.br,Meta Description
caico.rn.gov.br,Meta Keywords
caico.rn.gov.br,mssql.caico.rn.gov.br
caico.rn.gov.br,nicbr@set.rn.gov.br
caico.rn.gov.br,Parallels Plesk Panel
caico.rn.gov.br,Portuguese
caico.rn.gov.br,Respond
caico.rn.gov.br,Rio Grande do Norte
caico.rn.gov.br,Secretaria de Estado da Tributa��o
caico.rn.gov.br,SEO_META_DESCRIPTION
caico.rn.gov.br,SEO_META_KEYWORDS
caico.rn.gov.br,SEO_TITLE
caico.rn.gov.br,Sergio Ramiro Rivero Guardia
caico.rn.gov.br,sergior@rn.gov.br
caico.rn.gov.br,Teobaldo Adelino Dantas de Medeiros
caico.rn.gov.br,Twitter Bootstrap
caico.rn.gov.br,UTF-8
caico.rn.gov.br,Viewport Meta
caico.rn.gov.br,WAI-ARIA
caico.rn.gov.br,webmail.caico.rn.gov.br
caico.rn.gov.br,WOW
caico.rn.gov.br,www.caico.rn.gov.br
caico.rn.gov.br,X-Frame-Options
caico.rn.gov.br,X-XSS-Protection
https://caico.rn.gov.br/,caico.rn.gov.br
