Source Entity,Target Entity
177.87.96.2,+598 2604 2222
177.87.96.2,177.0.0.0
177.87.96.2,177.0.0.0-177.255.255.255
177.87.96.2,177.255.255.255
177.87.96.2,177.87.96.0
177.87.96.2,abuse@lacnic.net
177.87.96.2,censo2018.rn.gov.br
177.87.96.2,cert@cert.br
177.87.96.2,congesp.rn.gov.br
177.87.96.2,congesp2018.rn.gov.br
177.87.96.2,congesp2019.rn.gov.br
177.87.96.2,LACNIC
177.87.96.2,mail-abuse@cert.br
177.87.96.2,Montevideo
177.87.96.2,OrgAbuseName
177.87.96.2,OrgId
177.87.96.2,OrgTechName
177.87.96.2,Rio Grande do Norte
177.87.96.2,rninclusivo.rn.gov.br
177.87.96.2,Secretaria de Estado da Tributa��o
177.87.96.2,Teobaldo Adelino Dantas de Medeiros
177.87.96.2,whois-contact@lacnic.net
http://www.cotic.rn.gov.br/,www.cotic.rn.gov.br
www.cotic.rn.gov.br,177.87.96.2
