Source Entity,Target Entity
186.192.81.5,186-192-81-5.prt.globo.com
186.192.81.5,186.0.0.0-186.255.255.255
globo.com,+49 6841 6984200
globo.com,+55 21 2540 2000
globo.com,131.0.24.26
globo.com,177.53.95.213
globo.com,186.192.89.18
globo.com,186.192.89.5
globo.com,1API GmbH
globo.com,1API GmbH
globo.com,27.865.757/0001-02
globo.com,abuse@1api.net
globo.com,admin.globo.com
globo.com,blog.globo.com
globo.com,dns-admin@corp.globo.com
globo.com,dns-tech@corp.globo.com
globo.com,download.globo.com
globo.com,email.globo.com
globo.com,extranet.globo.com
globo.com,ftp.globo.com
globo.com,help.globo.com
globo.com,imap.globo.com
globo.com,intranet.globo.com
globo.com,mail.globo.com
globo.com,mx.globo.com
globo.com,net.globo.com
globo.com,news.globo.com
globo.com,pop.globo.com
globo.com,pop3.globo.com
globo.com,Rio de Janeiro
globo.com,"Rio de Janeiro, BR"
globo.com,screening.globo.com
globo.com,smtp.globo.com
globo.com,VeriSign
globo.com,wall.globo.com
globo.com,webmail.globo.com
globo.com,www.globo.com
https://www.globo.com/,www.globo.com
www.globo.com,186.192.81.5
www.globo.com,globo.com
