Source Entity,Target Entity
177.67.68.11,177.0.0.0-177.255.255.255
177.67.68.11,www.natal.rn.gov.br
https://natal.rn.gov.br/,Adobe Cross Domain Configuration
https://natal.rn.gov.br/,Apache
https://natal.rn.gov.br/,Canonical Content Tag
https://natal.rn.gov.br/,Cascading Style Sheets
https://natal.rn.gov.br/,Content Type Options
https://natal.rn.gov.br/,Document Class
https://natal.rn.gov.br/,Document Rights
https://natal.rn.gov.br/,Facebook for Websites
https://natal.rn.gov.br/,Facebook SDK
https://natal.rn.gov.br/,FeedBurner
https://natal.rn.gov.br/,Google Analytics
https://natal.rn.gov.br/,Google Analytics Classic
https://natal.rn.gov.br/,HSTS
https://natal.rn.gov.br/,HTML 5 Specific Tags
https://natal.rn.gov.br/,HTML 5 Video Audio Tags
https://natal.rn.gov.br/,HTML5 DocType
https://natal.rn.gov.br/,ISO/IEC 8859
https://natal.rn.gov.br/,Javascript
https://natal.rn.gov.br/,JCarousel
https://natal.rn.gov.br/,jQuery
https://natal.rn.gov.br/,jQuery 1.7.1
https://natal.rn.gov.br/,jQuery CDN
https://natal.rn.gov.br/,jQuery Cycle
https://natal.rn.gov.br/,jQuery Easing
https://natal.rn.gov.br/,jQuery prettyPhoto
https://natal.rn.gov.br/,jQuery UI
https://natal.rn.gov.br/,jQuery UI Tabs
https://natal.rn.gov.br/,Meta Description
https://natal.rn.gov.br/,Meta Keywords
https://natal.rn.gov.br/,Meta Robot
https://natal.rn.gov.br/,natal.rn.gov.br
https://natal.rn.gov.br/,Open Graph Protocol
https://natal.rn.gov.br/,Revisit After
https://natal.rn.gov.br/,SEO_H1
https://natal.rn.gov.br/,SEO_H2
https://natal.rn.gov.br/,SEO_META_DESCRIPTION
https://natal.rn.gov.br/,SEO_META_KEYWORDS
https://natal.rn.gov.br/,SEO_TITLE
https://natal.rn.gov.br/,Strict Transport Security
https://natal.rn.gov.br/,SuperFish Menu
https://natal.rn.gov.br/,UTF-8
https://natal.rn.gov.br/,X-Frame-Options
https://natal.rn.gov.br/,X-UA-Compatible
https://natal.rn.gov.br/,X-XSS-Protection
https://natal.rn.gov.br/,XHTML Transitional
https://natal.rn.gov.br/,YouTube
natal.rn.gov.br,177.67.68.11
natal.rn.gov.br,cert@cert.br
natal.rn.gov.br,dns.natal.rn.gov.br
natal.rn.gov.br,ftp.natal.rn.gov.br
natal.rn.gov.br,imap.natal.rn.gov.br
natal.rn.gov.br,mail-abuse@cert.br
natal.rn.gov.br,mail.natal.rn.gov.br
natal.rn.gov.br,mx.natal.rn.gov.br
natal.rn.gov.br,natal.rn.gov.br
natal.rn.gov.br,pop.natal.rn.gov.br
natal.rn.gov.br,pop3.natal.rn.gov.br
natal.rn.gov.br,proxy.natal.rn.gov.br
natal.rn.gov.br,router.natal.rn.gov.br
natal.rn.gov.br,smtp.natal.rn.gov.br
natal.rn.gov.br,webmail.natal.rn.gov.br
natal.rn.gov.br,www.natal.rn.gov.br
