Source Entity,Target Entity
13.107.42.11,13.64.0.0-13.107.255.255
https://outlook.live.com/owa/,outlook.live.com
live.com,+1 425 882 8080
live.com,+1 425 936 7329
live.com,+1 888 780 2723
live.com,CSC
live.com,"CSC CORPORATE DOMAINS, INC."
live.com,domainabuse@cscglobal.com
live.com,domains@microsoft.com
live.com,Microsoft Corporation
live.com,msnhst@microsoft.com
live.com,Redmond
live.com,"Redmond, US"
live.com,VeriSign
live.com,WA
live.com,wildcard-in-use.live.com
outlook.live.com,13.107.42.11
outlook.live.com,Content Delivery Network
outlook.live.com,Content Type Options
outlook.live.com,Font Face Rule
outlook.live.com,HSTS
outlook.live.com,HTML 5 Specific Tags
outlook.live.com,HTML5 DocType
outlook.live.com,IFrame
outlook.live.com,IPhone / Mobile Compatible
outlook.live.com,Javascript
outlook.live.com,live.com
outlook.live.com,Microsoft Azure CDN
outlook.live.com,Optimizely
outlook.live.com,SEO_TITLE
outlook.live.com,Strict Transport Security
outlook.live.com,UTF-8
outlook.live.com,Viewport Meta
outlook.live.com,X-Frame-Options
outlook.live.com,X-UA-Compatible
