Source Entity,Target Entity
200.98.190.69,200.0.0.0-200.255.255.255
200.98.190.69,opweb0014.servidorwebfacil.com
https://portodomangue.rn.gov.br/,portodomangue.rn.gov.br
portodomangue.rn.gov.br,177.87.96.3
portodomangue.rn.gov.br,177.87.96.4
portodomangue.rn.gov.br,177.87.97.7
portodomangue.rn.gov.br,200.98.190.69
portodomangue.rn.gov.br,Adobe Dreamweaver
portodomangue.rn.gov.br,Apple Mobile Web Clips Icon
portodomangue.rn.gov.br,ASP.NET
portodomangue.rn.gov.br,Cascading Style Sheets
portodomangue.rn.gov.br,cert@cert.br
portodomangue.rn.gov.br,Conditional Comments
portodomangue.rn.gov.br,Content Type Options
portodomangue.rn.gov.br,Font Awesome
portodomangue.rn.gov.br,ftp.portodomangue.rn.gov.br
portodomangue.rn.gov.br,Google Font API
portodomangue.rn.gov.br,Google Translate Widget
portodomangue.rn.gov.br,HTML 5 Specific Tags
portodomangue.rn.gov.br,HTML5 DocType
portodomangue.rn.gov.br,html5shiv
portodomangue.rn.gov.br,IIS
portodomangue.rn.gov.br,IIS 8
portodomangue.rn.gov.br,IPhone / Mobile Compatible
portodomangue.rn.gov.br,Isotope
portodomangue.rn.gov.br,Javascript
portodomangue.rn.gov.br,jQuery
portodomangue.rn.gov.br,jQuery 2.1.1
portodomangue.rn.gov.br,jQuery CDN
portodomangue.rn.gov.br,jQuery Easing
portodomangue.rn.gov.br,jQuery prettyPhoto
portodomangue.rn.gov.br,mail-abuse@cert.br
portodomangue.rn.gov.br,mail.portodomangue.rn.gov.br
portodomangue.rn.gov.br,Meta Description
portodomangue.rn.gov.br,Meta Keywords
portodomangue.rn.gov.br,Parallels Plesk Panel
portodomangue.rn.gov.br,portodomangue.rn.gov.br
portodomangue.rn.gov.br,Portuguese
portodomangue.rn.gov.br,Respond
portodomangue.rn.gov.br,Rio Grande do Norte
portodomangue.rn.gov.br,Secretaria de Estado da Tributa��o
portodomangue.rn.gov.br,SEO_META_DESCRIPTION
portodomangue.rn.gov.br,SEO_META_KEYWORDS
portodomangue.rn.gov.br,SEO_TITLE
portodomangue.rn.gov.br,Sergio Ramiro Rivero Guardia
portodomangue.rn.gov.br,Twitter Bootstrap
portodomangue.rn.gov.br,UTF-8
portodomangue.rn.gov.br,Viewport Meta
portodomangue.rn.gov.br,WAI-ARIA
portodomangue.rn.gov.br,WOW
portodomangue.rn.gov.br,www.portodomangue.rn.gov.br
portodomangue.rn.gov.br,X-Frame-Options
portodomangue.rn.gov.br,X-XSS-Protection
