Source Entity,Target Entity
177.87.96.2,177.0.0.0-177.255.255.255
177.87.96.2,censo2018.rn.gov.br
177.87.96.2,congesp.rn.gov.br
177.87.96.2,congesp2018.rn.gov.br
177.87.96.2,congesp2019.rn.gov.br
177.87.96.2,rninclusivo.rn.gov.br
http://www.rn.gov.br/,www.rn.gov.br
www.rn.gov.br,177.87.96.2
www.rn.gov.br,177.87.96.3
www.rn.gov.br,177.87.96.4
www.rn.gov.br,177.87.97.7
www.rn.gov.br,cert@cert.br
www.rn.gov.br,mail-abuse@cert.br
www.rn.gov.br,Rio Grande do Norte
www.rn.gov.br,Secretaria de Estado da Tributa��o
www.rn.gov.br,Sergio Ramiro Rivero Guardia
www.rn.gov.br,www.rn.gov.br
