Source Entity,Target Entity
177.20.144.66,+598 2604 2222
177.20.144.66,177.0.0.0
177.20.144.66,177.20.128.0
177.20.144.66,177.20.144.0
177.20.144.66,177.255.255.255
177.20.144.66,abuse@lacnic.net
177.20.144.66,admin@info.ufrn.br
177.20.144.66,cert@cert.br
177.20.144.66,ciclo.info.ufrn.br
177.20.144.66,LACNIC
177.20.144.66,mail-abuse@cert.br
177.20.144.66,MARCOS CESAR MADRUGA ALVES PINHEIRO
177.20.144.66,Montevideo
177.20.144.66,OrgAbuseName
177.20.144.66,OrgId
177.20.144.66,OrgTechName
177.20.144.66,whois-contact@lacnic.net
https://www.ufrn.br/,www.ufrn.br
ufrn.br,177.20.144.4
ufrn.br,45.55.153.157
ufrn.br,admin@info.ufrn.br
ufrn.br,aragorn.ufrn.br
ufrn.br,boromir.ufrn.br
ufrn.br,BR
ufrn.br,cert@cert.br
ufrn.br,cloud.ufrn.br
ufrn.br,dns.ufrn.br
ufrn.br,faramir.ufrn.br
ufrn.br,ftp.ufrn.br
ufrn.br,gandalf.ufrn.br
ufrn.br,http.ufrn.br
ufrn.br,info.ufrn.br
ufrn.br,jabber.ufrn.br
ufrn.br,mail-abuse@cert.br
ufrn.br,mail.ufrn.br
ufrn.br,MARCOS CESAR MADRUGA ALVES PINHEIRO
ufrn.br,mx.ufrn.br
ufrn.br,netadmin@info.ufrn.br
ufrn.br,ntp.ufrn.br
ufrn.br,proxy.ufrn.br
ufrn.br,web.ufrn.br
ufrn.br,www.ufrn.br
www.ufrn.br,177.20.144.66
www.ufrn.br,Acxiom
www.ufrn.br,AddThis
www.ufrn.br,AOL-Time Warner Online Advertising
www.ufrn.br,Apache
www.ufrn.br,Apache 2.2
www.ufrn.br,Apache Tomcat Coyote
www.ufrn.br,AppNexus
www.ufrn.br,Atlas
www.ufrn.br,Atom
www.ufrn.br,BlueKai
www.ufrn.br,Bootstrap.js
www.ufrn.br,Cart Functionality
www.ufrn.br,Datalogix
www.ufrn.br,Debian
www.ufrn.br,Dedicated Hosting
www.ufrn.br,DemDex
www.ufrn.br,Device Pixel Ratio
www.ufrn.br,Device Width
www.ufrn.br,DoubleClick.Net
www.ufrn.br,Dstillery
www.ufrn.br,Flowplayer
www.ufrn.br,Font Awesome
www.ufrn.br,GeoTrust SSL
www.ufrn.br,Google Analytics
www.ufrn.br,Google Font API
www.ufrn.br,Google Universal Analytics
www.ufrn.br,GStatic Google Static Content
www.ufrn.br,Invite Media
www.ufrn.br,IPhone / Mobile Compatible
www.ufrn.br,IPv6
www.ufrn.br,J2EE
www.ufrn.br,Java Servlet
www.ufrn.br,JBoss
www.ufrn.br,jPlayer
www.ufrn.br,jQuery
www.ufrn.br,jQuery Cycle
www.ufrn.br,jQuery Easing
www.ufrn.br,jQuery UI
www.ufrn.br,jQuery Validate
www.ufrn.br,Lightbox
www.ufrn.br,list.js
www.ufrn.br,Lotame Crowd Control
www.ufrn.br,Max Width
www.ufrn.br,MediaMath
www.ufrn.br,Microsoft Azure DNS
www.ufrn.br,Min Width
www.ufrn.br,Moment JS
www.ufrn.br,Neustar AdAdvisor
www.ufrn.br,nginx
www.ufrn.br,Orientation
www.ufrn.br,PHP
www.ufrn.br,Portuguese
www.ufrn.br,Python
www.ufrn.br,Python 2.4
www.ufrn.br,Python 3.2
www.ufrn.br,Resonate Insights
www.ufrn.br,SimpleModal
www.ufrn.br,Slick JS
www.ufrn.br,SPF
www.ufrn.br,SSL by Default
www.ufrn.br,Twitter Platform
www.ufrn.br,Ubuntu
www.ufrn.br,ufrn.br
www.ufrn.br,Viewport Meta
www.ufrn.br,Workplace by Facebook
www.ufrn.br,www.ufrn.br
www.ufrn.br,YouTube
