Source Entity,Target Entity
108.179.252.149,108.179.192.0-108.179.255.255
108.179.252.149,srv166-ip05.prodns.com.br
angicos.rn.gov.br,108.179.252.149
angicos.rn.gov.br,177.87.96.3
angicos.rn.gov.br,177.87.96.4
angicos.rn.gov.br,177.87.97.7
angicos.rn.gov.br,angicos.rn.gov.br
angicos.rn.gov.br,Apache
angicos.rn.gov.br,Cascading Style Sheets
angicos.rn.gov.br,CDN JS
angicos.rn.gov.br,cert@cert.br
angicos.rn.gov.br,Conditional Comments
angicos.rn.gov.br,Facebook Like Box
angicos.rn.gov.br,Font Awesome
angicos.rn.gov.br,ftp.angicos.rn.gov.br
angicos.rn.gov.br,HTML 5 Specific Tags
angicos.rn.gov.br,HTML5 Boilerplate
angicos.rn.gov.br,HTML5 DocType
angicos.rn.gov.br,html5shiv
angicos.rn.gov.br,IFrame
angicos.rn.gov.br,IPhone / Mobile Compatible
angicos.rn.gov.br,Javascript
angicos.rn.gov.br,jQuery
angicos.rn.gov.br,jQuery Cookie
angicos.rn.gov.br,mail-abuse@cert.br
angicos.rn.gov.br,mail.angicos.rn.gov.br
angicos.rn.gov.br,Meta Description
angicos.rn.gov.br,OpenSearch
angicos.rn.gov.br,P3P Policy
angicos.rn.gov.br,Rio Grande do Norte
angicos.rn.gov.br,Secretaria de Estado da Tributa��o
angicos.rn.gov.br,SEO_H1
angicos.rn.gov.br,SEO_H2
angicos.rn.gov.br,SEO_META_DESCRIPTION
angicos.rn.gov.br,SEO_TITLE
angicos.rn.gov.br,Sergio Ramiro Rivero Guardia
angicos.rn.gov.br,Twitter Bootstrap
angicos.rn.gov.br,Twitter Platform
angicos.rn.gov.br,Twitter Timeline
angicos.rn.gov.br,UTF-8
angicos.rn.gov.br,Viewport Meta
angicos.rn.gov.br,webmail.angicos.rn.gov.br
angicos.rn.gov.br,www.angicos.rn.gov.br
ftp.angicos.rn.gov.br,213.136.68.210
http://angicos.rn.gov.br/,angicos.rn.gov.br
mail.angicos.rn.gov.br,108.179.252.149
webmail.angicos.rn.gov.br,213.136.68.210
www.angicos.rn.gov.br,108.179.252.149
