Source Entity,Target Entity
200.98.190.69,200.0.0.0-200.255.255.255
200.98.190.69,opweb0014.servidorwebfacil.com
apodi.rn.gov.br,177.87.96.3
apodi.rn.gov.br,177.87.96.4
apodi.rn.gov.br,177.87.97.7
apodi.rn.gov.br,200.98.190.69
apodi.rn.gov.br,Adobe Dreamweaver
apodi.rn.gov.br,apodi.rn.gov.br
apodi.rn.gov.br,Apple Mobile Web Clips Icon
apodi.rn.gov.br,ASP.NET
apodi.rn.gov.br,BR
apodi.rn.gov.br,Cascading Style Sheets
apodi.rn.gov.br,cert@cert.br
apodi.rn.gov.br,Conditional Comments
apodi.rn.gov.br,Font Awesome
apodi.rn.gov.br,ftp.apodi.rn.gov.br
apodi.rn.gov.br,Google Font API
apodi.rn.gov.br,Google Translate Widget
apodi.rn.gov.br,HTML 5 Specific Tags
apodi.rn.gov.br,HTML5 DocType
apodi.rn.gov.br,html5shiv
apodi.rn.gov.br,IFrame
apodi.rn.gov.br,IIS
apodi.rn.gov.br,IIS 8
apodi.rn.gov.br,IPhone / Mobile Compatible
apodi.rn.gov.br,Isotope
apodi.rn.gov.br,Javascript
apodi.rn.gov.br,jQuery
apodi.rn.gov.br,jQuery 2.1.1
apodi.rn.gov.br,jQuery CDN
apodi.rn.gov.br,jQuery Easing
apodi.rn.gov.br,jQuery prettyPhoto
apodi.rn.gov.br,julio@rn.gov.br
apodi.rn.gov.br,mail-abuse@cert.br
apodi.rn.gov.br,mail.apodi.rn.gov.br
apodi.rn.gov.br,Meta Description
apodi.rn.gov.br,Meta Keywords
apodi.rn.gov.br,nicbr@set.rn.gov.br
apodi.rn.gov.br,Parallels Plesk Panel
apodi.rn.gov.br,Portuguese
apodi.rn.gov.br,Respond
apodi.rn.gov.br,Rio Grande do Norte
apodi.rn.gov.br,Secretaria de Estado da Tributa��o
apodi.rn.gov.br,SEO_META_DESCRIPTION
apodi.rn.gov.br,SEO_META_KEYWORDS
apodi.rn.gov.br,SEO_TITLE
apodi.rn.gov.br,Sergio Ramiro Rivero Guardia
apodi.rn.gov.br,sergior@rn.gov.br
apodi.rn.gov.br,Teobaldo Adelino Dantas de Medeiros
apodi.rn.gov.br,Twitter Bootstrap
apodi.rn.gov.br,UTF-8
apodi.rn.gov.br,Viewport Meta
apodi.rn.gov.br,WAI-ARIA
apodi.rn.gov.br,WOW
apodi.rn.gov.br,www.apodi.rn.gov.br
https://apodi.rn.gov.br/,apodi.rn.gov.br
