Source Entity,Target Entity
108.179.192.217,srv176-ip03.prodns.com.br
carnaubais.rn.gov.br,177.87.96.3
carnaubais.rn.gov.br,177.87.96.4
carnaubais.rn.gov.br,177.87.97.7
carnaubais.rn.gov.br,cert@cert.br
carnaubais.rn.gov.br,ftp.carnaubais.rn.gov.br
carnaubais.rn.gov.br,mail-abuse@cert.br
carnaubais.rn.gov.br,mail.carnaubais.rn.gov.br
carnaubais.rn.gov.br,Rio Grande do Norte
carnaubais.rn.gov.br,Secretaria de Estado da Tributa��o
carnaubais.rn.gov.br,Sergio Ramiro Rivero Guardia
carnaubais.rn.gov.br,webmail.carnaubais.rn.gov.br
http://www.carnaubais.rn.gov.br/,Apache
http://www.carnaubais.rn.gov.br/,Apple Mobile Web Clips Icon
http://www.carnaubais.rn.gov.br/,Canonical Content Tag
http://www.carnaubais.rn.gov.br/,Cascading Style Sheets
http://www.carnaubais.rn.gov.br/,Contact Form 7
http://www.carnaubais.rn.gov.br/,Content Delivery Network
http://www.carnaubais.rn.gov.br/,Font Awesome
http://www.carnaubais.rn.gov.br/,Friends Network
http://www.carnaubais.rn.gov.br/,Gravatar Profiles
http://www.carnaubais.rn.gov.br/,HTML 5 Specific Tags
http://www.carnaubais.rn.gov.br/,HTML 5 Video Audio Tags
http://www.carnaubais.rn.gov.br/,HTML5 DocType
http://www.carnaubais.rn.gov.br/,IFrame
http://www.carnaubais.rn.gov.br/,IPhone / Mobile Compatible
http://www.carnaubais.rn.gov.br/,Javascript
http://www.carnaubais.rn.gov.br/,Jetpack
http://www.carnaubais.rn.gov.br/,jQuery
http://www.carnaubais.rn.gov.br/,jQuery Cookie
http://www.carnaubais.rn.gov.br/,Live Writer Support
http://www.carnaubais.rn.gov.br/,MediaElement.js
http://www.carnaubais.rn.gov.br/,oEmbed
http://www.carnaubais.rn.gov.br/,Open Graph Protocol
http://www.carnaubais.rn.gov.br/,Pingback Support
http://www.carnaubais.rn.gov.br/,Portuguese
http://www.carnaubais.rn.gov.br/,Really Simple Discovery
http://www.carnaubais.rn.gov.br/,RSS
http://www.carnaubais.rn.gov.br/,SEO_H1
http://www.carnaubais.rn.gov.br/,SEO_H2
http://www.carnaubais.rn.gov.br/,SEO_TITLE
http://www.carnaubais.rn.gov.br/,SiteOrigin Panels
http://www.carnaubais.rn.gov.br/,StackPath BootstrapCDN
http://www.carnaubais.rn.gov.br/,Twitter Bootstrap
http://www.carnaubais.rn.gov.br/,Twitter Cards
http://www.carnaubais.rn.gov.br/,UTF-8
http://www.carnaubais.rn.gov.br/,Viewport Meta
http://www.carnaubais.rn.gov.br/,Windows 8 Pinning
http://www.carnaubais.rn.gov.br/,Wordfence
http://www.carnaubais.rn.gov.br/,WordPress
http://www.carnaubais.rn.gov.br/,Wordpress 5.1
http://www.carnaubais.rn.gov.br/,WordPress Grid
http://www.carnaubais.rn.gov.br/,Wordpress Plugins
http://www.carnaubais.rn.gov.br/,WP PageNavi
http://www.carnaubais.rn.gov.br/,www.carnaubais.rn.gov.br
www.carnaubais.rn.gov.br,108.179.192.217
www.carnaubais.rn.gov.br,carnaubais.rn.gov.br
www.carnaubais.rn.gov.br,www.carnaubais.rn.gov.br
