Source Entity,Target Entity
31.13.66.35,31.0.0.0-31.255.255.255
31.13.66.35,edge-star-mini-shv-01-iad3.facebook.com
facebook.com,+1 650 308 7004
facebook.com,+1 650 543 4800
facebook.com,abusecomplaints@registrarsafe.com
facebook.com,ai.facebook.com
facebook.com,an.facebook.com
facebook.com,apollo.facebook.com
facebook.com,apple.facebook.com
facebook.com,az.facebook.com
facebook.com,bd.facebook.com
facebook.com,bind.facebook.com
facebook.com,blog.facebook.com
facebook.com,bm.facebook.com
facebook.com,bt.facebook.com
facebook.com,business.facebook.com
facebook.com,ca.facebook.com
facebook.com,cg.facebook.com
facebook.com,chris.facebook.com
facebook.com,ci.facebook.com
facebook.com,cisco.facebook.com
facebook.com,citrix.facebook.com
facebook.com,cobalt.facebook.com
facebook.com,de.facebook.com
facebook.com,dns.facebook.com
facebook.com,do.facebook.com
facebook.com,domain@fb.com
facebook.com,es.facebook.com
facebook.com,"Facebook, Inc."
facebook.com,fi.facebook.com
facebook.com,fr.facebook.com
facebook.com,gene.facebook.com
facebook.com,gl.facebook.com
facebook.com,google.facebook.com
facebook.com,googlemail.facebook.com
facebook.com,helen.facebook.com
facebook.com,helios.facebook.com
facebook.com,hp.facebook.com
facebook.com,hr.facebook.com
facebook.com,ibm.facebook.com
facebook.com,ie.facebook.com
facebook.com,inet.facebook.com
facebook.com,inside.facebook.com
facebook.com,it.facebook.com
facebook.com,kid.facebook.com
facebook.com,kr.facebook.com
facebook.com,kw.facebook.com
facebook.com,ky.facebook.com
facebook.com,lb.facebook.com
facebook.com,link.facebook.com
facebook.com,lithium.facebook.com
facebook.com,Menlo Park
facebook.com,"Menlo Park, US"
facebook.com,michael.facebook.com
facebook.com,microsoft.facebook.com
facebook.com,mm.facebook.com
facebook.com,mt.facebook.com
facebook.com,my.facebook.com
facebook.com,mysql.facebook.com
facebook.com,neo.facebook.com
facebook.com,no.facebook.com
facebook.com,nokia.facebook.com
facebook.com,ns.facebook.com
facebook.com,oliver.facebook.com
facebook.com,orange.facebook.com
facebook.com,pan.facebook.com
facebook.com,pg.facebook.com
facebook.com,pl.facebook.com
facebook.com,pt.facebook.com
facebook.com,redhat.facebook.com
facebook.com,RegistrarSafe
facebook.com,"RegistrarSafe, LLC"
facebook.com,ro.facebook.com
facebook.com,roland.facebook.com
facebook.com,sd.facebook.com
facebook.com,secure.facebook.com
facebook.com,st.facebook.com
facebook.com,sv.facebook.com
facebook.com,switch.facebook.com
facebook.com,tc.facebook.com
facebook.com,td.facebook.com
facebook.com,th.facebook.com
facebook.com,tip.facebook.com
facebook.com,tm.facebook.com
facebook.com,tr.facebook.com
facebook.com,trendmicro.facebook.com
facebook.com,upload.facebook.com
facebook.com,va.facebook.com
facebook.com,vector.facebook.com
facebook.com,VeriSign
facebook.com,walt.facebook.com
facebook.com,web.facebook.com
facebook.com,webmail.facebook.com
facebook.com,ww.facebook.com
facebook.com,www.facebook.com
https://www.facebook.com/,www.facebook.com
www.facebook.com,31.13.66.35
www.facebook.com,Akamai
www.facebook.com,Arabic HREF LANG
www.facebook.com,Atlas
www.facebook.com,Canonical Content Tag
www.facebook.com,Cascading Style Sheets
www.facebook.com,Content Delivery Network
www.facebook.com,Content Security Policy
www.facebook.com,Content Type Options
www.facebook.com,DoubleClick.Net
www.facebook.com,English HREF LANG
www.facebook.com,Facebook CDN
www.facebook.com,facebook.com
www.facebook.com,French HREF LANG
www.facebook.com,Hindi HREF LANG
www.facebook.com,HREF Lang
www.facebook.com,HSTS
www.facebook.com,HTML5 DocType
www.facebook.com,IFrame
www.facebook.com,Javascript
www.facebook.com,JSON-LD
www.facebook.com,Kenshoo
www.facebook.com,Korean HREF LANG
www.facebook.com,MediaMind
www.facebook.com,Meta Description
www.facebook.com,Meta Robot
www.facebook.com,Netmining
www.facebook.com,Open Graph Protocol
www.facebook.com,OpenSearch
www.facebook.com,SEO_H1
www.facebook.com,SEO_H2
www.facebook.com,SEO_META_DESCRIPTION
www.facebook.com,Spanish HREF LANG
www.facebook.com,Strict Transport Security
www.facebook.com,Thai HREF LANG
www.facebook.com,UTF-8
www.facebook.com,WAI-ARIA
www.facebook.com,WordPress Grid
www.facebook.com,X-Frame-Options
www.facebook.com,X-XSS-Protection
