Source Entity,Target Entity
108.179.252.149,108.179.192.0-108.179.255.255
108.179.252.149,srv166-ip05.prodns.com.br
afonsobezerra.rn.gov.br,177.87.96.3
afonsobezerra.rn.gov.br,177.87.96.4
afonsobezerra.rn.gov.br,177.87.97.7
afonsobezerra.rn.gov.br,cert@cert.br
afonsobezerra.rn.gov.br,ftp.afonsobezerra.rn.gov.br
afonsobezerra.rn.gov.br,mail-abuse@cert.br
afonsobezerra.rn.gov.br,mail.afonsobezerra.rn.gov.br
afonsobezerra.rn.gov.br,Rio Grande do Norte
afonsobezerra.rn.gov.br,Secretaria de Estado da Tributa��o
afonsobezerra.rn.gov.br,Sergio Ramiro Rivero Guardia
afonsobezerra.rn.gov.br,webmail.afonsobezerra.rn.gov.br
afonsobezerra.rn.gov.br,www.afonsobezerra.rn.gov.br
https://www.afonsobezerra.rn.gov.br/,www.afonsobezerra.rn.gov.br
www.afonsobezerra.rn.gov.br,108.179.252.149
www.afonsobezerra.rn.gov.br,afonsobezerra.rn.gov.br
www.afonsobezerra.rn.gov.br,Apache
www.afonsobezerra.rn.gov.br,Cascading Style Sheets
www.afonsobezerra.rn.gov.br,Conditional Comments
www.afonsobezerra.rn.gov.br,Content Delivery Network
www.afonsobezerra.rn.gov.br,Facebook CDN
www.afonsobezerra.rn.gov.br,Facebook Like Box
www.afonsobezerra.rn.gov.br,Font Awesome
www.afonsobezerra.rn.gov.br,Google Maps
www.afonsobezerra.rn.gov.br,Google Maps API
www.afonsobezerra.rn.gov.br,Google Maps for Work
www.afonsobezerra.rn.gov.br,HTML 5 Specific Tags
www.afonsobezerra.rn.gov.br,HTML5 Boilerplate
www.afonsobezerra.rn.gov.br,HTML5 DocType
www.afonsobezerra.rn.gov.br,html5shiv
www.afonsobezerra.rn.gov.br,IFrame
www.afonsobezerra.rn.gov.br,IPhone / Mobile Compatible
www.afonsobezerra.rn.gov.br,Javascript
www.afonsobezerra.rn.gov.br,jQuery
www.afonsobezerra.rn.gov.br,jQuery Cookie
www.afonsobezerra.rn.gov.br,Meta Description
www.afonsobezerra.rn.gov.br,P3P Policy
www.afonsobezerra.rn.gov.br,SEO_H1
www.afonsobezerra.rn.gov.br,SEO_H2
www.afonsobezerra.rn.gov.br,SEO_META_DESCRIPTION
www.afonsobezerra.rn.gov.br,SEO_TITLE
www.afonsobezerra.rn.gov.br,Twitter Bootstrap
www.afonsobezerra.rn.gov.br,Twitter Platform
www.afonsobezerra.rn.gov.br,Twitter Timeline
www.afonsobezerra.rn.gov.br,UTF-8
www.afonsobezerra.rn.gov.br,Viewport Meta
www.afonsobezerra.rn.gov.br,www.afonsobezerra.rn.gov.br
www.afonsobezerra.rn.gov.br,X-UA-Compatible
www.afonsobezerra.rn.gov.br,YouTube
