Source Entity,Target Entity
108.179.253.145,108.179.192.0-108.179.255.255
http://macau.rn.gov.br/,macau.rn.gov.br
macau.rn.gov.br,108.179.253.145
macau.rn.gov.br,177.87.96.3
macau.rn.gov.br,177.87.96.4
macau.rn.gov.br,177.87.97.7
macau.rn.gov.br,Apache
macau.rn.gov.br,Apple Mobile Web Clips Icon
macau.rn.gov.br,BR
macau.rn.gov.br,Cascading Style Sheets
macau.rn.gov.br,cert@cert.br
macau.rn.gov.br,Conditional Comments
macau.rn.gov.br,Contact Form 7
macau.rn.gov.br,Content Delivery Network
macau.rn.gov.br,Friends Network
macau.rn.gov.br,ftp.macau.rn.gov.br
macau.rn.gov.br,Google Analytics
macau.rn.gov.br,Google Universal Analytics
macau.rn.gov.br,HTML 5 Specific Tags
macau.rn.gov.br,HTML 5 Video Audio Tags
macau.rn.gov.br,HTML5 DocType
macau.rn.gov.br,IPhone / Mobile Compatible
macau.rn.gov.br,Javascript
macau.rn.gov.br,jQuery
macau.rn.gov.br,julio@rn.gov.br
macau.rn.gov.br,Live Writer Support
macau.rn.gov.br,macau.rn.gov.br
macau.rn.gov.br,mail-abuse@cert.br
macau.rn.gov.br,mail.macau.rn.gov.br
macau.rn.gov.br,MediaElement.js
macau.rn.gov.br,Mobile Non Scaleable Content
macau.rn.gov.br,Navegg
macau.rn.gov.br,nicbr@set.rn.gov.br
macau.rn.gov.br,Portuguese
macau.rn.gov.br,Really Simple Discovery
macau.rn.gov.br,Rio Grande do Norte
macau.rn.gov.br,RSS
macau.rn.gov.br,Secretaria de Estado da Tributa��o
macau.rn.gov.br,SEO_H1
macau.rn.gov.br,SEO_H2
macau.rn.gov.br,SEO_TITLE
macau.rn.gov.br,Sergio Ramiro Rivero Guardia
macau.rn.gov.br,sergior@rn.gov.br
macau.rn.gov.br,Slick JS
macau.rn.gov.br,Teobaldo Adelino Dantas de Medeiros
macau.rn.gov.br,UTF-8
macau.rn.gov.br,Viewport Meta
macau.rn.gov.br,Web App Manifest
macau.rn.gov.br,webmail.macau.rn.gov.br
macau.rn.gov.br,Windows 8 Pinning
macau.rn.gov.br,WordPress
macau.rn.gov.br,WordPress 5.2
macau.rn.gov.br,Wordpress Plugins
macau.rn.gov.br,www.macau.rn.gov.br
macau.rn.gov.br,X-UA-Compatible
