Source Entity,Target Entity
104.18.204.222,104.16.0.0-104.31.255.255
104.18.205.222,104.16.0.0-104.31.255.255
https://www.otvfoco.com.br/,www.otvfoco.com.br
otvfoco.com.br,Aaron Racanicchi
otvfoco.com.br,aaronracanicchi@hotmail.com
otvfoco.com.br,admin.otvfoco.com.br
otvfoco.com.br,BR
otvfoco.com.br,cert@cert.br
otvfoco.com.br,Jan Schnurle
otvfoco.com.br,mail-abuse@cert.br
otvfoco.com.br,registro@origiweb.com.br
otvfoco.com.br,registrobr@elav.com.br
otvfoco.com.br,saci
otvfoco.com.br,www.otvfoco.com.br
www.otvfoco.com.br,104.18.204.222
www.otvfoco.com.br,104.18.205.222
www.otvfoco.com.br,161Media
www.otvfoco.com.br,33 Across Direct
www.otvfoco.com.br,33 Across Reseller
www.otvfoco.com.br,Accelerated Mobile Pages
www.otvfoco.com.br,AcuityAds
www.otvfoco.com.br,Acxiom
www.otvfoco.com.br,Adap.TV
www.otvfoco.com.br,Adblade
www.otvfoco.com.br,AdBlade Embed
www.otvfoco.com.br,Adbrain
www.otvfoco.com.br,Adconion
www.otvfoco.com.br,Add to Any
www.otvfoco.com.br,AddThis
www.otvfoco.com.br,Adform
www.otvfoco.com.br,Adform Direct
www.otvfoco.com.br,AdGear
www.otvfoco.com.br,Adhigh
www.otvfoco.com.br,Adify
www.otvfoco.com.br,Adition
www.otvfoco.com.br,adloox
www.otvfoco.com.br,Adobe Audience Manager Sync
www.otvfoco.com.br,Adometry
www.otvfoco.com.br,AdRoll
www.otvfoco.com.br,Ads.txt
www.otvfoco.com.br,Adscale
www.otvfoco.com.br,ADTECH
www.otvfoco.com.br,adtelligent Reseller
www.otvfoco.com.br,Advertising.com
www.otvfoco.com.br,AerServ Reseller
www.otvfoco.com.br,Aggregate Knowledge
www.otvfoco.com.br,AJAX Libraries API
www.otvfoco.com.br,Akamai
www.otvfoco.com.br,Akamai Hosted
www.otvfoco.com.br,Alexa Certified Site Metrics
www.otvfoco.com.br,Alexa Metrics
www.otvfoco.com.br,Amazon
www.otvfoco.com.br,Amazon Ad System
www.otvfoco.com.br,Amazon Associates
www.otvfoco.com.br,Amazon Direct
www.otvfoco.com.br,Amazon Elastic Load Balancing
www.otvfoco.com.br,Amazon Route 53
www.otvfoco.com.br,Amazon Virginia Region
www.otvfoco.com.br,AMob
www.otvfoco.com.br,ANIVIEW
www.otvfoco.com.br,AOL Direct
www.otvfoco.com.br,AOL Reseller
www.otvfoco.com.br,AOL-Time Warner Online Advertising
www.otvfoco.com.br,Apache
www.otvfoco.com.br,Apple Mobile Web Clips Icon
www.otvfoco.com.br,AppNexus
www.otvfoco.com.br,AppNexus Direct
www.otvfoco.com.br,AppNexus Reseller
www.otvfoco.com.br,AppNexus Segment Pixel
www.otvfoco.com.br,Arrivalist
www.otvfoco.com.br,Atlas
www.otvfoco.com.br,AudienceScience
www.otvfoco.com.br,Avocet
www.otvfoco.com.br,Beachfront Reseller
www.otvfoco.com.br,Beeswax
www.otvfoco.com.br,Bidtellect
www.otvfoco.com.br,BidTheatre
www.otvfoco.com.br,BlockAdBlock
www.otvfoco.com.br,BlueKai
www.otvfoco.com.br,BlueKai DMP
www.otvfoco.com.br,Bombora
www.otvfoco.com.br,Boo Box
www.otvfoco.com.br,boo-box
www.otvfoco.com.br,Brandscreen
www.otvfoco.com.br,Brid.tv
www.otvfoco.com.br,Brightcove
www.otvfoco.com.br,BrightRoll
www.otvfoco.com.br,BrightRoll Reseller
www.otvfoco.com.br,Burst Media
www.otvfoco.com.br,Buysight
www.otvfoco.com.br,Cart Functionality
www.otvfoco.com.br,CDN JS
www.otvfoco.com.br,Cedato
www.otvfoco.com.br,Cedexis
www.otvfoco.com.br,CenturyLink
www.otvfoco.com.br,Chango
www.otvfoco.com.br,Chocolate Reseller
www.otvfoco.com.br,Clickagy
www.otvfoco.com.br,Cliipa
www.otvfoco.com.br,Cloudflare
www.otvfoco.com.br,Cloudflare DNS
www.otvfoco.com.br,Cloudflare Hosting
www.otvfoco.com.br,Cloudflare SSL
www.otvfoco.com.br,CloudFront
www.otvfoco.com.br,Cloudinary
www.otvfoco.com.br,Comodo PositiveSSL
www.otvfoco.com.br,Comodo SSL
www.otvfoco.com.br,comScore
www.otvfoco.com.br,Connatix Direct
www.otvfoco.com.br,Connexity
www.otvfoco.com.br,Content Delivery Network
www.otvfoco.com.br,ContextWeb
www.otvfoco.com.br,ContextWeb Reseller
www.otvfoco.com.br,Convertro
www.otvfoco.com.br,CoolaData
www.otvfoco.com.br,Coremetrics
www.otvfoco.com.br,CreateJS
www.otvfoco.com.br,Criteo
www.otvfoco.com.br,Criteo Direct
www.otvfoco.com.br,Criteo Publisher Marketplace
www.otvfoco.com.br,DailyMotion Video
www.otvfoco.com.br,Datalogix
www.otvfoco.com.br,DataXu
www.otvfoco.com.br,Datonics
www.otvfoco.com.br,Dedicated Media
www.otvfoco.com.br,DemDex
www.otvfoco.com.br,deTube
www.otvfoco.com.br,Device Pixel Ratio
www.otvfoco.com.br,Device Width
www.otvfoco.com.br,Digilant
www.otvfoco.com.br,Disqus
www.otvfoco.com.br,Disqus Ads
www.otvfoco.com.br,Disqus Comment System for WordPress
www.otvfoco.com.br,DistrictM Direct
www.otvfoco.com.br,DistrictM Reseller
www.otvfoco.com.br,Dotomi
www.otvfoco.com.br,DoubleClick Bid Manager
www.otvfoco.com.br,DoubleClick Floodlight
www.otvfoco.com.br,DoubleClick.Net
www.otvfoco.com.br,DoubleVerify
www.otvfoco.com.br,Drawbridge
www.otvfoco.com.br,Dstillery
www.otvfoco.com.br,DynAd
www.otvfoco.com.br,DynAdmic
www.otvfoco.com.br,Dynatrace
www.otvfoco.com.br,Efficient Frontier
