Source Entity,Target Entity
162.221.187.234,162.221.184.0-162.221.191.255
162.221.187.234,server.assesi.com
https://paudosferros.rn.gov.br/,paudosferros.rn.gov.br
paudosferros.rn.gov.br,162.221.187.234
paudosferros.rn.gov.br,177.87.96.3
paudosferros.rn.gov.br,177.87.96.4
paudosferros.rn.gov.br,177.87.97.7
paudosferros.rn.gov.br,cert@cert.br
paudosferros.rn.gov.br,ftp.paudosferros.rn.gov.br
paudosferros.rn.gov.br,mail-abuse@cert.br
paudosferros.rn.gov.br,mail.paudosferros.rn.gov.br
paudosferros.rn.gov.br,mssql.paudosferros.rn.gov.br
paudosferros.rn.gov.br,paudosferros.rn.gov.br
paudosferros.rn.gov.br,Rio Grande do Norte
paudosferros.rn.gov.br,Secretaria de Estado da Tributa��o
paudosferros.rn.gov.br,Sergio Ramiro Rivero Guardia
paudosferros.rn.gov.br,webmail.paudosferros.rn.gov.br
paudosferros.rn.gov.br,www.paudosferros.rn.gov.br
