Source Entity,Target Entity
200.137.6.81,200.0.0.0-200.255.255.255
200.137.6.81,portal.ufersa.edu.br
200.137.6.81,ufersa.edu.br
https://ufersa.edu.br/,ufersa.edu.br
ufersa.edu.br,200.137.6.8
ufersa.edu.br,200.137.6.81
ufersa.edu.br,200.137.6.9
ufersa.edu.br,AJAX Libraries API
ufersa.edu.br,All-in-One Event Calendar for WordPress
ufersa.edu.br,Apache
ufersa.edu.br,Apache 2.2
ufersa.edu.br,Apache 2.4
ufersa.edu.br,Apache Tomcat Coyote
ufersa.edu.br,Apple Mobile Web Clips Icon
ufersa.edu.br,ASP.NET
ufersa.edu.br,Atom
ufersa.edu.br,BeTheme
ufersa.edu.br,Cart Functionality
ufersa.edu.br,CDN JS
ufersa.edu.br,cert@cert.br
ufersa.edu.br,CKAN
ufersa.edu.br,Classic ASP
ufersa.edu.br,cloud.ufersa.edu.br
ufersa.edu.br,Contact Form 7
ufersa.edu.br,Content Delivery Network
ufersa.edu.br,DAV
ufersa.edu.br,Dedicated Hosting
ufersa.edu.br,Device Pixel Ratio
ufersa.edu.br,DoubleClick.Net
ufersa.edu.br,Easy Fancybox
ufersa.edu.br,Elastic Email
ufersa.edu.br,Facebook Graph API
ufersa.edu.br,Facebook Like
ufersa.edu.br,Fancybox
ufersa.edu.br,FitVids.JS
ufersa.edu.br,FlexSlider
ufersa.edu.br,Font Awesome
ufersa.edu.br,Foundation
ufersa.edu.br,George Bezerra Ribeiro
ufersa.edu.br,Google Analytics
ufersa.edu.br,Google Analytics Classic
ufersa.edu.br,Google Apps for Business
ufersa.edu.br,Google Font API
ufersa.edu.br,Google Hosted jQuery
ufersa.edu.br,Google Hosted jQuery UI
ufersa.edu.br,Google Hosted Libraries
ufersa.edu.br,Google JS Api
ufersa.edu.br,Google Translate Widget
ufersa.edu.br,Google Universal Analytics
ufersa.edu.br,Google Webmaster
ufersa.edu.br,GStatic Google Static Content
ufersa.edu.br,html5shiv
ufersa.edu.br,IIS
ufersa.edu.br,IIS 5
ufersa.edu.br,IIS 7
ufersa.edu.br,IPhone / Mobile Compatible
ufersa.edu.br,IPv6
ufersa.edu.br,J2EE
ufersa.edu.br,Java Servlet
ufersa.edu.br,JavaServer Faces
ufersa.edu.br,JBoss
ufersa.edu.br,Jetpack
ufersa.edu.br,Joomla!
ufersa.edu.br,jPlayer
ufersa.edu.br,jQuery
ufersa.edu.br,jQuery 1.11.0
ufersa.edu.br,jQuery Cookie
ufersa.edu.br,jQuery Easing
ufersa.edu.br,jQuery Form
ufersa.edu.br,jQuery Masonry
ufersa.edu.br,jQuery Mousewheel
ufersa.edu.br,jQuery UI
ufersa.edu.br,jQuery UI Mouse
ufersa.edu.br,jQuery Validate
ufersa.edu.br,jQuery Validation Engine
ufersa.edu.br,Kleber Jacinto
ufersa.edu.br,Linode
ufersa.edu.br,Live Writer Support
ufersa.edu.br,mail-abuse@cert.br
ufersa.edu.br,mail.ufersa.edu.br
ufersa.edu.br,Mailgun
ufersa.edu.br,MailPoet
ufersa.edu.br,MathJax
ufersa.edu.br,Max Width
ufersa.edu.br,Microsoft Azure DNS
ufersa.edu.br,Min Width
ufersa.edu.br,mod_ssl
ufersa.edu.br,Moodle
ufersa.edu.br,MooTools
ufersa.edu.br,Muffin Group
ufersa.edu.br,MyLiveChat
ufersa.edu.br,New Relic
ufersa.edu.br,nginx
ufersa.edu.br,nginx 0.8
ufersa.edu.br,nginx 1.4
ufersa.edu.br,OpenSSL
ufersa.edu.br,OpenSSL 0.9.8
ufersa.edu.br,Orientation
ufersa.edu.br,OSS CDN
ufersa.edu.br,overLIB
ufersa.edu.br,Pepipost
ufersa.edu.br,PHP
ufersa.edu.br,Pinterest
ufersa.edu.br,Portuguese
ufersa.edu.br,Python
ufersa.edu.br,Python 2.5
ufersa.edu.br,Python 3.3
ufersa.edu.br,Really Simple Discovery
ufersa.edu.br,RequireJS
ufersa.edu.br,Resolution
ufersa.edu.br,Respond
ufersa.edu.br,RSS
ufersa.edu.br,Shockwave Flash Embed
ufersa.edu.br,SiteOrigin
ufersa.edu.br,SiteOrigin Panels
ufersa.edu.br,Slider Revolution
ufersa.edu.br,SPF
ufersa.edu.br,SSL by Default
ufersa.edu.br,Subversion
ufersa.edu.br,Swipe JS
ufersa.edu.br,ThemePunch
ufersa.edu.br,touchSwipe
ufersa.edu.br,Twemoji
ufersa.edu.br,Twitter Platform
ufersa.edu.br,Twitter Timeline
ufersa.edu.br,Ubuntu
ufersa.edu.br,ufersa.edu.br
ufersa.edu.br,Varnish
ufersa.edu.br,Viewport Meta
ufersa.edu.br,wifi.ufersa.edu.br
ufersa.edu.br,wildcard-in-use.ufersa.edu.br
ufersa.edu.br,Win32 Header
ufersa.edu.br,WordPress
ufersa.edu.br,WordPress 4.0
ufersa.edu.br,Wordpress 4.1
ufersa.edu.br,Wordpress 4.2
ufersa.edu.br,Wordpress 4.3
ufersa.edu.br,Wordpress 4.4
ufersa.edu.br,Wordpress 4.5
ufersa.edu.br,Wordpress 4.7
ufersa.edu.br,Wordpress 4.9
ufersa.edu.br,Wordpress Daily Activity
ufersa.edu.br,WordPress Grid
ufersa.edu.br,Wordpress Monthly Activity
ufersa.edu.br,Wordpress Plugins
ufersa.edu.br,WP Super Cache
ufersa.edu.br,Wysija
ufersa.edu.br,Yahoo CDN
ufersa.edu.br,Yahoo User Interface
ufersa.edu.br,YouTube
ufersa.edu.br,YUI3
ufersa.edu.br,Zopim
