Source Entity,Target Entity
99.84.181.123,99.83.64.0-99.84.255.255
99.84.181.123,server-99-84-181-123.iad89.r.cloudfront.net
99.84.181.24,99.83.64.0-99.84.255.255
99.84.181.24,server-99-84-181-24.iad89.r.cloudfront.net
99.84.181.70,99.83.64.0-99.84.255.255
99.84.181.70,server-99-84-181-70.iad89.r.cloudfront.net
99.84.181.88,99.83.64.0-99.84.255.255
99.84.181.88,server-99-84-181-88.iad89.r.cloudfront.net
https://www.uol.com.br/,www.uol.com.br
uol.com.br,blog.uol.com.br
uol.com.br,blue.uol.com.br
uol.com.br,BR
uol.com.br,cert@cert.br
uol.com.br,cloud.uol.com.br
uol.com.br,download.uol.com.br
uol.com.br,e-mail.uol.com.br
uol.com.br,ecommerce.uol.com.br
uol.com.br,email.uol.com.br
uol.com.br,ftp.uol.com.br
uol.com.br,imap.uol.com.br
uol.com.br,l-adm-dns@uolinc.com
uol.com.br,l-bgp@uoldiveo.com
uol.com.br,l-registrobr-uol@corp.uol.com.br
uol.com.br,mail-abuse@cert.br
uol.com.br,mail.uol.com.br
uol.com.br,mx.uol.com.br
uol.com.br,news.uol.com.br
uol.com.br,photos.uol.com.br
uol.com.br,pop3.uol.com.br
uol.com.br,smtp.uol.com.br
uol.com.br,streaming.uol.com.br
uol.com.br,Universo Online
uol.com.br,UOL
uol.com.br,upload.uol.com.br
uol.com.br,webmail.uol.com.br
uol.com.br,wifi.uol.com.br
uol.com.br,ww.uol.com.br
uol.com.br,www.uol.com.br
www.uol.com.br,99.84.181.123
www.uol.com.br,99.84.181.24
www.uol.com.br,99.84.181.70
www.uol.com.br,99.84.181.88
www.uol.com.br,uol.com.br
