Alvo,Maltego,Texugo Scan,Netcraft
http://www.carnaubais.rn.gov.br/,3,12,0
https://assu.rn.gov.br/,1,11,11
http://angicos.rn.gov.br/,4,10,0
https://www.fernandopedroza.rn.gov.br/,4,10,0
https://www.afonsobezerra.rn.gov.br/,4,10,0
https://altodorodrigues.rn.gov.br/,4,11,7
https://www.defensoria.rn.def.br/,0,2,0
https://natal.rn.gov.br/,12,,0
http://www.tce.rn.gov.br/,0,15,0
http://www.cotic.rn.gov.br/,5,1,0
https://ufersa.edu.br/,6,999,0
https://paudosferros.rn.gov.br/,5,9,0
https://caico.rn.gov.br/,5,9,4
http://www.caern.rn.gov.br/,5,3,0
http://portal.uern.br/,7,0,0
https://www.ufrn.br/,16,33,0
http://www.caraubas.rn.gov.br/,4,4,0
http://www.pm.rn.gov.br/,0,2,0
https://portodomangue.rn.gov.br/,3,5,0
http://macau.rn.gov.br/,4,12,0
https://apodi.rn.gov.br/,3,5,0
https://www.prefeiturademossoro.com.br/,8,18,0
http://www.policiacivil.rn.gov.br/,0,2,0
http://www.mprn.mp.br/portal/,5,10,0
http://www.rn.gov.br/,0,0,0
https://www.google.com.br/,20,28,22
https://www.facebook.com/,0,121,13
https://www.globo.com/,17,89,0
https://outlook.live.com/owa/,1,0,8
https://www.mercadolivre.com.br/,4,34,0
https://www.uol.com.br/,21,113,1
https://www.otvfoco.com.br/,2,0,0
https://www.blogger.com/about/?r=2,0,26,0
https://br.yahoo.com/?p=us,12,5,0
https://www.metropoles.com/,1,6,0
https://www.netflix.com/br-en/,13,49,0
https://www.instagram.com/,8,17,0
https://olx.com.br/,24,998,2
https://twitter.com/,14,60,0
https://www.xvideos.com/,23,993,0
https://www.americanas.com.br/,5,,0
https://www.msn.com/pt-br/,14,943,0
http://www.caixa.gov.br/Paginas/home-caixa.aspx,2,0,0
https://www.bet365.com/,7,15,2
https://www.aliexpress.com/,2,996,12
https://www.microsoft.com/pt-br/,15,,7
https://www.reclameaqui.com.br/,5,17,0
http://fazenda.gov.br/,5,18,0
https://www.bol.uol.com.br/,17,12,0
https://www.amazon.com.br/,3,13,14
https://abril.com.br/,8,39,0
