Alvo,Maltego,Texugo Scan,Netcraft
http://www.carnaubais.rn.gov.br/,42,4,0
https://assu.rn.gov.br/,36,4,4
http://angicos.rn.gov.br/,27,3,0
https://www.fernandopedroza.rn.gov.br/,32,3,0
https://www.afonsobezerra.rn.gov.br/,32,3,0
https://altodorodrigues.rn.gov.br/,25,3,0
https://www.defensoria.rn.def.br/,30,3,8
https://natal.rn.gov.br/,45,4,16
http://www.tce.rn.gov.br/,8,0,6
http://www.cotic.rn.gov.br/,0,5,0
https://ufersa.edu.br/,136,0,9
https://paudosferros.rn.gov.br/,0,3,6
https://caico.rn.gov.br/,37,0,4
http://www.caern.rn.gov.br/,0,4,0
http://portal.uern.br/,0,1,6
https://www.ufrn.br/,65,4,9
http://www.caraubas.rn.gov.br/,0,0,0
http://www.pm.rn.gov.br/,0,3,0
https://portodomangue.rn.gov.br/,37,4,6
http://macau.rn.gov.br/,34,3,0
https://apodi.rn.gov.br/,35,4,14
https://www.prefeiturademossoro.com.br/,146,0,12
http://www.policiacivil.rn.gov.br/,0,4,0
http://www.mprn.mp.br/portal/,0,0,0
http://www.rn.gov.br/,0,0,0
https://www.google.com.br/,0,0,8
https://www.facebook.com/,38,1,13
https://www.globo.com/,0,0,16
https://outlook.live.com/owa/,17,2,10
https://www.mercadolivre.com.br/,0,0,0
https://www.uol.com.br/,0,1,12
https://www.otvfoco.com.br/,438,1,16
https://www.blogger.com/about/?r=2,32,3,18
https://br.yahoo.com/?p=us,0,0,0
https://www.metropoles.com/,12,0,14
https://www.netflix.com/br-en/,12,0,18
https://www.instagram.com/,12,2,15
https://olx.com.br/,0,1,15
https://twitter.com/,12,3,15
https://www.xvideos.com/,12,0,14
https://www.americanas.com.br/,0,2,0
https://www.msn.com/pt-br/,0,3,0
http://www.caixa.gov.br/Paginas/home-caixa.aspx,12,3,0
https://www.bet365.com/,12,0,12
https://www.aliexpress.com/,12,0,21
https://www.microsoft.com/pt-br/,12,4,18
https://www.reclameaqui.com.br/,12,4,0
http://fazenda.gov.br/,12,4,16
https://www.bol.uol.com.br/,12,3,10
https://www.amazon.com.br/,0,3,19
https://abril.com.br/,12,3,18
