Alvo,Ferramenta,T1,T2,T3,T4,T5,T6,T7,Evidencia(Relatorio),ID,Técnica
http://www.carnaubais.rn.gov.br/,Texugo Scan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,T1,Whois
,Maltego,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,T2,Port Scanning
,Netcraft,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,T3,Subdomain enumeration
,,,,,,,,,,T4,Netblock Identification
https://assu.rn.gov.br/,Texugo Scan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,T5,Banner Grabbing 
,Maltego,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,T6,Reverse DNS Identification
,Netcraft,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,T7,Tecnology Identification
,,,,,,,,,,,
http://angicos.rn.gov.br/,Texugo Scan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,Maltego,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,,
,Netcraft,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,
,,,,,,,,,,,
https://www.fernandopedroza.rn.gov.br/,Texugo Scan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,Maltego,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,,
,Netcraft,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,
,,,,,,,,,,,
https://www.afonsobezerra.rn.gov.br/,Texugo Scan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ERRO,,
,Maltego,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,Netcraft,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,
,,,,,,,,,,,
https://altodorodrigues.rn.gov.br/,Texugo Scan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,Maltego,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,,
,Netcraft,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,
,,,,,,,,,,,
https://www.defensoria.rn.def.br/,Texugo Scan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,Maltego,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,,
,Netcraft,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
,,,,,,,,,,,
https://natal.rn.gov.br/,Texugo Scan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ERROR,,
,Maltego,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,,
,Netcraft,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,
,,,,,,,,,,,
http://www.tce.rn.gov.br/,Texugo Scan,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,
,Maltego,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
,Netcraft,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,,
,,,,,,,,,,,
http://www.cotic.rn.gov.br/,Texugo Scan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,
,Maltego,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
,Netcraft,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,
,,,,,,,,,,,
https://ufersa.edu.br/,Texugo Scan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ERROR,,
,Maltego,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,,
,Netcraft,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,,,,,,,,,,,
https://paudosferros.rn.gov.br/,Texugo Scan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,
,Maltego,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,,
,Netcraft,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,,
,,,,,,,,,,,
https://caico.rn.gov.br/,Texugo Scan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,Maltego,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,,
,Netcraft,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,
,,,,,,,,,,,
http://www.caern.rn.gov.br/,Texugo Scan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,
,Maltego,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
,Netcraft,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,
,,,,,,,,,,,
http://portal.uern.br/,Texugo Scan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,
,Maltego,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
,Netcraft,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
,,,,,,,,,,,
https://www.ufrn.br/,Texugo Scan,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,Maltego,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,,
,Netcraft,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,
,,,,,,,,,,,
http://www.caraubas.rn.gov.br/,Texugo Scan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,Maltego,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
,Netcraft,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,
,,,,,,,,,,,
